Date,Close,High,Low,Open,Volume
2023-11-01,14744.5,14762.0,14411.0,14458.0,1287302
2023-11-02,14998.0,15015.75,14759.75,14760.0,1049634
2023-11-03,15178.75,15228.5,14924.25,14931.25,1085949
2023-11-06,15232.5,15257.5,15138.0,15187.0,857920
2023-11-07,15374.25,15412.75,15175.75,15216.75,988596
2023-11-08,15386.5,15417.75,15286.5,15372.0,940237
2023-11-09,15256.0,15453.25,15236.75,15360.0,1243724
2023-11-10,15596.25,15616.25,15207.0,15254.75,1090380
2023-11-13,15547.0,15601.0,15465.25,15585.75,874797
2023-11-14,15879.75,15918.75,15551.75,15559.5,1016422
2023-11-15,15889.25,16049.0,15832.0,15894.25,1081674
2023-11-16,15897.5,15907.25,15797.75,15844.0,1063757
2023-11-17,15895.75,15940.0,15824.5,15898.25,871649
2023-11-20,16086.5,16116.75,15837.5,15891.25,861071
2023-11-21,15990.25,16122.5,15912.0,16089.75,868972
2023-11-22,16049.25,16173.25,15942.5,15970.0,1065880
2023-11-23,16062.25,16086.75,16034.0,16039.75,1065880
2023-11-24,16021.0,16086.75,15981.75,16039.75,545122
2023-11-27,16008.75,16089.0,15938.75,16008.5,911010
2023-11-28,16048.0,16071.5,15945.0,16004.0,1038032
2023-11-29,16023.75,16207.75,16013.5,16054.75,1042430
2023-11-30,15985.5,16098.0,15855.75,16041.5,1141900
2023-12-01,16023.75,16050.0,15864.5,15955.0,1124267
2023-12-04,15869.0,16027.0,15721.25,16021.75,1087819
2023-12-05,15908.75,15961.75,15761.25,15860.75,1152664
2023-12-06,15815.25,16039.0,15802.0,15898.75,1152632
2023-12-07,16038.75,16065.75,15791.25,15816.25,1057636
2023-12-08,16098.25,16119.0,15890.0,16018.5,1043068
2023-12-11,16237.0,16249.75,16044.5,16092.0,498570
2023-12-12,16362.75,16388.5,16185.0,16238.25,319633
2023-12-13,16563.75,16594.5,16365.25,16380.5,219616
2023-12-14,16541.5,16674.5,16418.5,16563.25,154454
2023-12-15,16530.23046875,16609.25,16519.25,16525.0,927037
2023-12-18,16939.75,16974.25,16802.25,16820.25,733161
2023-12-19,17023.0,17029.5,16911.0,16920.0,769731
2023-12-20,16766.25,17073.5,16757.25,17023.0,1063402
2023-12-21,16956.5,16971.25,16790.0,16793.75,1122605
2023-12-22,16980.0,17041.25,16891.5,16954.5,848841
2023-12-26,17083.5,17111.5,16963.5,16963.5,515923
2023-12-27,17113.25,17132.25,17055.5,17085.0,683261
2023-12-28,17090.5,17165.5,17078.0,17129.0,616483
2023-12-29,17023.5,17130.5,16937.75,17089.75,826279
2024-01-02,16720.0,17038.5,16622.0,17018.75,1068977
2024-01-03,16538.0,16740.0,16522.25,16740.0,1154851
2024-01-04,16445.0,16587.25,16435.75,16543.25,966889
2024-01-05,16460.25,16577.0,16334.25,16454.0,1098485
2024-01-08,16803.75,16811.5,16378.25,16472.25,880010
2024-01-09,16830.25,16868.5,16658.5,16790.0,1023133
2024-01-10,16945.25,16983.25,16801.75,16829.5,986991
2024-01-11,16966.25,17056.0,16753.0,16955.5,1370416
2024-01-12,16969.25,17042.5,16866.25,16958.0,1136604
2024-01-16,16966.5,17034.0,16812.0,16962.0,1590564
2024-01-17,16869.75,16981.25,16689.0,16979.5,1232753
2024-01-18,17110.0,17126.0,16833.75,16859.5,1383841
2024-01-19,17438.5,17472.0,17107.25,17117.75,1279429
2024-01-22,17458.5,17584.75,17434.25,17465.75,1164374
2024-01-23,17531.25,17558.25,17409.25,17457.0,964525
2024-01-24,17621.0,17794.0,17551.5,17551.5,1276789
2024-01-25,17634.5,17752.0,17541.75,17618.75,1302123
2024-01-26,17527.0,17631.25,17465.75,17574.25,1185606
2024-01-29,17706.0,17716.25,17456.25,17502.5,1000807
2024-01-30,17588.5,17735.75,17466.5,17708.0,997556
2024-01-31,17242.25,17483.75,17221.75,17427.5,1392644
2024-02-01,17436.75,17645.5,17262.75,17275.0,1254476
2024-02-02,17732.75,17775.5,17465.75,17592.0,1343148
2024-02-05,17700.0,17745.0,17553.75,17695.25,1057797
2024-02-06,17660.0,17768.25,17560.75,17702.0,1223843
2024-02-07,17841.75,17876.0,17629.5,17648.0,1140713
2024-02-08,17868.25,17896.5,17791.5,17851.0,894327
2024-02-09,18039.25,18071.0,17851.75,17857.25,887504
2024-02-12,17965.0,18121.5,17911.0,18039.25,958530
2024-02-13,17676.75,17963.5,17546.25,17929.75,1479457
2024-02-14,17881.0,17887.0,17669.25,17703.0,1285619
2024-02-15,17912.75,17968.5,17780.25,17873.25,1221673
2024-02-16,17744.0,18026.25,17713.75,17949.25,1370208
2024-02-20,17607.25,17807.25,17452.5,17728.5,1726529
2024-02-21,17536.75,17715.5,17373.0,17574.75,1384949
2024-02-22,18047.5,18087.0,17675.5,17704.0,1315842
2024-02-23,17991.0,18145.0,17946.0,18025.25,1273874
2024-02-26,17977.0,18059.75,17922.0,17962.75,1070895
2024-02-27,18021.0,18040.5,17908.5,17953.75,1112234
